12-15 23:43:37: Eðitim baþlýyor...
12-15 23:43:39: Yeni en iyi ödül 24.0 (%-100.0) bölüm 0, model kaydediliyor...
12-15 23:43:39: Yeni en iyi ödül 31.0 (%+29.2) bölüm 14, model kaydediliyor...
12-15 23:43:39: Yeni en iyi ödül 66.0 (%+112.9) bölüm 18, model kaydediliyor...
12-15 23:43:39: Yeni en iyi ödül 87.0 (%+31.8) bölüm 57, model kaydediliyor...
12-15 23:43:41: Yeni en iyi ödül 105.0 (%+20.7) bölüm 706, model kaydediliyor...
12-15 23:43:41: Yeni en iyi ödül 126.0 (%+20.0) bölüm 722, model kaydediliyor...
12-15 23:43:43: Yeni en iyi ödül 133.0 (%+5.6) bölüm 1102, model kaydediliyor...
12-15 23:43:45: Yeni en iyi ödül 140.0 (%+5.3) bölüm 1433, model kaydediliyor...
12-15 23:43:48: Yeni en iyi ödül 183.0 (%+30.7) bölüm 1843, model kaydediliyor...
12-15 23:43:48: Yeni en iyi ödül 215.0 (%+17.5) bölüm 1857, model kaydediliyor...
12-15 23:43:55: Yeni en iyi ödül 222.0 (%+3.3) bölüm 2714, model kaydediliyor...
12-15 23:43:55: Yeni en iyi ödül 357.0 (%+60.8) bölüm 2775, model kaydediliyor...
12-15 23:43:59: Yeni en iyi ödül 399.0 (%+11.8) bölüm 2979, model kaydediliyor...
12-15 23:43:59: Yeni en iyi ödül 423.0 (%+6.0) bölüm 3021, model kaydediliyor...
12-15 23:44:00: Yeni en iyi ödül 449.0 (%+6.1) bölüm 3060, model kaydediliyor...
12-15 23:44:01: Yeni en iyi ödül 494.0 (%+10.0) bölüm 3121, model kaydediliyor...
12-15 23:44:03: Yeni en iyi ödül 503.0 (%+1.8) bölüm 3189, model kaydediliyor...
12-15 23:45:26: Yeni en iyi ödül 639.0 (%+27.0) bölüm 6493, model kaydediliyor...
12-15 23:45:27: Yeni en iyi ödül 669.0 (%+4.7) bölüm 6499, model kaydediliyor...
12-15 23:45:27: Yeni en iyi ödül 780.0 (%+16.6) bölüm 6500, model kaydediliyor...
12-15 23:45:29: Yeni en iyi ödül 1215.0 (%+55.8) bölüm 6537, model kaydediliyor...
12-15 23:45:30: Yeni en iyi ödül 1597.0 (%+31.4) bölüm 6543, model kaydediliyor...
12-15 23:45:32: Yeni en iyi ödül 1701.0 (%+6.5) bölüm 6569, model kaydediliyor...
12-15 23:45:32: Yeni en iyi ödül 2036.0 (%+19.7) bölüm 6570, model kaydediliyor...
12-15 23:45:34: Yeni en iyi ödül 12519.0 (%+514.9) bölüm 6571, model kaydediliyor...
12-15 23:45:36: Yeni en iyi ödül 21373.0 (%+70.7) bölüm 6572, model kaydediliyor...
12-15 23:45:46: Yeni en iyi ödül 100000.0 (%+367.9) bölüm 6573, model kaydediliyor...
