12-16 00:12:45: Training starting...
12-16 00:12:47: New best reward -7.5 (-100.0%) at episode 0, saving model...
12-16 00:12:47: New best reward -6.3 (-16.0%) at episode 6, saving model...
12-16 00:12:48: New best reward -3.9 (-38.1%) at episode 15, saving model...
12-16 00:12:50: New best reward -0.9 (-76.9%) at episode 26, saving model...
12-16 00:30:49: New best reward -0.3 (-66.7%) at episode 7197, saving model...
12-16 00:33:14: New best reward 0.9 (-400.0%) at episode 8350, saving model...
12-16 00:37:09: New best reward 1.1 (+22.2%) at episode 10271, saving model...
12-16 00:38:57: New best reward 2.1 (+90.9%) at episode 11088, saving model...
12-16 00:40:05: New best reward 2.2 (+4.8%) at episode 11623, saving model...
12-16 00:40:25: New best reward 2.8 (+27.3%) at episode 11785, saving model...
12-16 00:48:10: New best reward 2.9 (+3.6%) at episode 15325, saving model...
12-16 01:12:52: New best reward 3.0 (+3.4%) at episode 27206, saving model...
12-16 01:16:18: New best reward 3.2 (+6.7%) at episode 28832, saving model...
12-16 01:18:18: New best reward 5.2 (+62.5%) at episode 29758, saving model...
12-16 01:25:56: New best reward 6.1 (+17.3%) at episode 33281, saving model...
12-16 01:28:32: New best reward 7.7 (+26.2%) at episode 34471, saving model...
12-16 01:37:29: New best reward 8.0 (+3.9%) at episode 38486, saving model...
12-16 01:50:50: New best reward 9.0 (+12.5%) at episode 44313, saving model...
12-16 02:09:08: New best reward 9.7 (+7.8%) at episode 52067, saving model...
12-16 02:14:42: New best reward 12.6 (+29.9%) at episode 54328, saving model...
12-16 02:21:12: New best reward 13.4 (+6.3%) at episode 56826, saving model...
12-16 02:35:51: New best reward 14.0 (+4.5%) at episode 62413, saving model...
12-16 02:36:07: New best reward 15.6 (+11.4%) at episode 62497, saving model...
12-16 02:36:20: New best reward 15.7 (+0.6%) at episode 62582, saving model...
12-16 03:00:49: New best reward 15.7 (+0.0%) at episode 71745, saving model...
12-16 03:08:44: New best reward 15.7 (+0.0%) at episode 74632, saving model...
12-16 03:18:51: New best reward 16.9 (+7.6%) at episode 78400, saving model...
12-16 03:42:20: New best reward 23.7 (+40.2%) at episode 86906, saving model...
